#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(v_y='(-inf, -0.3)', omega='(-inf, -0.12)', y='(-x, 2 - x)')", '--output-constraint=AlsomitraOutputConstraint(e_x=(-inf, 0.187))', '--logic=GD', '--experiment-name=AlsomitraProperty3']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.0,0.0,0.007714514620602131,1.0,1.0,0.0,3.13077974319458
1,0.2708317968580458,0.0,0.0,1.0087090730667114,0.9912908673286438,0.0061730386482344735,1.0,1.0,0.17702263593673706,0.0,0.0,0.0050488910637795925,1.0,1.0,29.008713006973267,3.239649772644043
2,0.12653578652275932,0.0014279363676905632,0.06887760427263048,1.011750340461731,0.9882497191429138,0.004244714975357056,0.9409722222222222,0.3454861111111111,0.11950697004795074,0.000333297997713089,0.09830190241336823,0.004148376639932394,0.953125,0.015625,28.841248512268066,3.1739020347595215
3,0.12280150254567464,0.0006482712924480438,0.028938323259353638,1.0088473558425903,0.9911527633666992,0.00419674234257804,0.9739583333333334,0.6440972222222222,0.13752780854701996,0.0,0.0,0.004450172185897827,1.0,1.0,28.713688850402832,3.20283579826355
4,0.12241339683532715,0.0,0.0014120256528258324,1.0090981721878052,0.9909018874168396,0.004196150435341729,1.0,0.9652777777777778,0.11363450437784195,7.237493991851807e-05,0.01738876849412918,0.004045169334858656,0.984375,0.640625,26.280651807785034,2.683367967605591
5,0.10576705137888591,0.0002110947130454911,0.018423216210471258,1.0076781511306763,0.992321789264679,0.003899496876531177,0.9861111111111112,0.6493055555555556,0.10811715573072433,0.0,0.010426322929561138,0.003945744130760431,1.0,0.765625,24.719273567199707,2.6756129264831543
6,0.1044066349665324,6.92262417740292e-06,0.005351906021436055,1.0054961442947388,0.994503915309906,0.0038748246928056083,0.9982638888888888,0.8506944444444444,0.1035764217376709,6.357207894325256e-06,0.007296641357243061,0.0038619977422058582,0.984375,0.765625,24.393016576766968,2.7198312282562256
7,0.0988681713740031,3.613686809937159e-05,0.006133559263414807,1.00339937210083,0.9966007471084595,0.003770101401540968,0.9947916666666666,0.7951388888888888,0.09985706210136414,0.0,0.005486813373863697,0.0037920232862234116,1.0,0.796875,24.603846549987793,2.7293713092803955
8,0.0959694849120246,4.050125264459186e-05,0.0046358294785022736,1.0015065670013428,0.9984933137893677,0.0037113970352543723,0.9930555555555556,0.8315972222222222,0.09713581204414368,0.0,0.0026969658210873604,0.0037399972788989544,1.0,0.84375,24.50159525871277,2.7493133544921875
9,0.09184667799207899,8.781254291534424e-05,0.004070320063167148,0.9995526075363159,1.0004475116729736,0.0036336705088615417,0.9878472222222222,0.828125,0.09272699803113937,0.0,0.003931713290512562,0.003654135623946786,1.0,0.828125,24.384673595428467,2.639418363571167
10,0.08928691016303168,5.834456533193588e-05,0.0030880669752756753,0.997486412525177,1.0025135278701782,0.003581186549531089,0.9930555555555556,0.8524305555555556,0.08962111175060272,0.0,0.0036661745980381966,0.003592416876927018,1.0,0.828125,24.333460330963135,2.719808578491211
11,0.08750131395128039,1.7789295978016322e-05,0.0034929513931274414,0.9953154921531677,1.0046844482421875,0.0035363580617639753,0.9965277777777778,0.8368055555555556,0.08616457879543304,0.0,0.005175660364329815,0.0035224591847509146,1.0,0.75,24.27499532699585,2.7273812294006348
12,0.0848805242114597,2.5428831577301025e-05,0.00349703182776769,0.9931392669677734,1.0068607330322266,0.0034889595376120675,0.9947916666666666,0.8333333333333334,0.08247214555740356,0.00014830008149147034,0.0050505949184298515,0.0034461584873497486,0.984375,0.765625,24.243396043777466,2.7462899684906006
13,0.0784992774327596,5.607358697387907e-05,0.0038107873664961923,0.9909343719482422,1.0090653896331787,0.0033579106546110576,0.9913194444444444,0.828125,0.08094140887260437,0.0,0.0022636791691184044,0.00341402692720294,1.0,0.875,24.861618280410767,2.6816604137420654
14,0.07577323913574219,2.4825541509522332e-05,0.003726176917552948,0.9887097477912903,1.0112903118133545,0.0032992147737079197,0.9965277777777778,0.8211805555555556,0.07757031917572021,0.00019930489361286163,0.0028090523555874825,0.0033421767875552177,0.984375,0.8125,24.573710203170776,2.7760024070739746
15,0.07388956016964382,4.059924847549862e-05,0.004131073339117898,0.9863830208778381,1.013616919517517,0.0032505568944745595,0.9913194444444444,0.8038194444444444,0.07576373964548111,0.0,0.0028097843751311302,0.003303028177469969,1.0,0.859375,24.414965629577637,2.632451057434082
16,0.07141360971662733,2.4715335004859502e-05,0.0032443909181488883,0.9839810729026794,1.0160188674926758,0.0032045067184501225,0.9965277777777778,0.8385416666666666,0.07268817722797394,0.0,0.003162533976137638,0.0032352919224649668,1.0,0.796875,28.338176727294922,3.1973559856414795
17,0.06873547368579441,1.5039617816607157e-05,0.003433445675505532,0.9819484353065491,1.0180516242980957,0.003140157295597924,0.9965277777777778,0.8159722222222222,0.06990645825862885,1.5164725482463837e-05,0.0036702360957860947,0.003172782249748707,0.984375,0.796875,29.307258129119873,3.20609974861145
18,0.06589445802900526,0.0,0.0021010018471214506,0.9797887802124023,1.0202113389968872,0.0030753136508994633,1.0,0.8732638888888888,0.06659264862537384,0.00031129922717809677,0.005399739369750023,0.003096668515354395,0.984375,0.765625,28.672682285308838,3.163370132446289
19,0.06293918689092,9.420265754063924e-05,0.003882544736067454,0.9770219326019287,1.0229781866073608,0.0030020239452521005,0.9895833333333334,0.8211805555555556,0.06495048850774765,0.0001691766083240509,0.004347589798271656,0.0030582488980144262,0.984375,0.8125,28.858709573745728,3.2001640796661377
20,0.06301333506902058,4.327504171265496e-05,0.003438469022512436,0.9744668006896973,1.0255331993103027,0.002996125982867347,0.9930555555555556,0.8385416666666666,0.06473668664693832,0.0,0.0015022037550807,0.003053210908547044,1.0,0.875,26.68176770210266,3.1339759826660156
21,0.05885918272866143,0.00010367989954021241,0.0031352908247047,0.9719446897506714,1.0280553102493286,0.0029030502256419924,0.9861111111111112,0.8489583333333334,0.06171506643295288,0.0,0.0027572624385356903,0.0029811044223606586,1.0,0.828125,27.805476903915405,2.7191030979156494
22,0.05852028396394518,3.8388495643933616e-05,0.003156457096338272,0.9697366952896118,1.0302633047103882,0.002894034195277426,0.9947916666666666,0.8524305555555556,0.05888061970472336,0.00011784210801124573,0.003272421658039093,0.002911841729655862,0.984375,0.8125,23.663524627685547,2.5860977172851562
23,0.05763913525475396,4.741042438480589e-05,0.0028346363041136,0.9672878980636597,1.0327122211456299,0.0028769498070081076,0.9947916666666666,0.8559027777777778,0.057088371366262436,0.0,0.0029457183554768562,0.0028671829495579004,1.0,0.875,23.751588344573975,2.6695337295532227
24,0.053754985332489014,1.9424387978182898e-05,0.002809212025668886,0.9647079706192017,1.035292148590088,0.002772256318065855,0.9965277777777778,0.8645833333333334,0.05529668182134628,0.00011319667100906372,0.0025787008926272392,0.0028218317311257124,0.96875,0.875,23.6786630153656,2.5894505977630615
25,0.05339163541793823,6.455834954977036e-05,0.0031031258404254913,0.9620082974433899,1.0379917621612549,0.0027632533262173333,0.9930555555555556,0.8628472222222222,0.054226502776145935,0.0,0.0023076795041561127,0.00279439240694046,1.0,0.859375,23.495640993118286,2.5991227626800537
26,0.04998700155152215,7.157824519607756e-05,0.004495990773042043,0.9589205384254456,1.0410794019699097,0.0026695123977131313,0.9930555555555556,0.8472222222222222,0.05081877484917641,0.0,0.004695379175245762,0.002705164486542344,1.0,0.8125,23.650596380233765,2.6016857624053955
27,0.05103185441758898,7.867254316806793e-05,0.003494545817375183,0.955367922782898,1.044632077217102,0.002685727137658331,0.9965277777777778,0.8680555555555556,0.04804646223783493,0.000422060489654541,0.010356978513300419,0.00263034226372838,0.96875,0.6875,23.615158081054688,2.622502565383911
